,date_combined,co2_flux(µmol/s/m^2),qc_co2_flux,Rg(W/m^2),Tair(degC)
,41276.0625,1.493409009,0.0,-3.57,3.64
,41276.083333333336,1.686528709,0.0,-3.29,3.79
,41276.104166666664,1.462839228,0.0,-2.14,4.15
,41276.125,1.636217138,0.0,-2.43,4.3
,41276.145833333336,1.888629498,0.0,-2.43,4.35
,41276.166666666664,1.446772285,0.0,-2.43,4.4
,41276.1875,1.256491604,0.0,-3.29,4.45
,41276.208333333336,1.110443094,0.0,-3.86,4.56
,41276.229166666664,1.159338031,0.0,-3.29,4.66
,41276.25,1.569346346,0.0,-2.43,4.66
,41276.270833333336,1.609398034,0.0,-1.57,4.71
,41276.291666666664,1.49319898,0.0,-2.43,4.81
,41276.3125,2.878955508,0.0,-2.71,4.81
,41276.333333333336,4.191856096,0.0,-0.71,4.81
,41276.354166666664,2.676753336,0.0,6.5,4.86
,41276.375,3.488324683,0.0,15.57,5.17
,41276.395833333336,4.136008989,0.0,24.5,5.32
,41276.416666666664,6.297324287,0.0,49.86,5.48
,41276.4375,1.639073674,0.0,55.14,5.99
,41276.458333333336,0.33582087,0.0,80.79,6.55
,41276.479166666664,2.800742101,1.0,99.0,6.96
,41276.5,2.314800315,1.0,69.07,7.32
,41276.520833333336,-3.658421208,1.0,79.5,7.37
,41276.541666666664,-5.207263457,2.0,40.07,7.17
,41276.5625,4.363389254,1.0,44.0,7.37
,41276.583333333336,-6.368219371,1.0,32.93,7.78
,41276.604166666664,0.320320766,0.0,25.0,8.35
,41276.625,1.352975468,0.0,13.86,8.65
,41276.645833333336,2.422678821,1.0,5.07,8.96
,41276.666666666664,1.502196057,0.0,2.43,9.01
,41276.6875,2.20211803,0.0,0.14,9.22
,41276.708333333336,2.104825648,0.0,-0.71,9.47
,41276.729166666664,1.28914239,0.0,-1.0,9.52
,41276.75,1.934951815,0.0,-1.0,9.52
,41276.770833333336,2.50042285,0.0,-1.29,9.73
,41276.791666666664,5.847737993,0.0,-1.29,9.93
,41276.8125,2.807480427,0.0,-1.29,10.14
,41276.833333333336,2.813047919,0.0,-1.0,10.24
,41276.854166666664,2.552198089,0.0,-1.0,10.44
,41276.875,2.586705058,0.0,-1.29,10.44
,41276.895833333336,1.67513341,0.0,-0.71,10.39
,41276.916666666664,2.440594443,0.0,-0.71,10.44
,41276.9375,2.419548375,0.0,-1.29,10.44
,41276.958333333336,2.896846351,0.0,-1.0,10.39
,41276.979166666664,2.934441944,0.0,-1.29,10.29
,41277.0,3.048180058,0.0,-1.0,10.24
,41277.020833333336,3.309428933,0.0,-0.71,10.19
,41277.041666666664,3.099793168,0.0,-0.43,10.14
,41277.0625,1.447607476,0.0,-0.43,10.04
,41277.083333333336,1.66851457,0.0,-0.43,10.04
,41277.104166666664,2.53041978,0.0,-0.43,9.98
,41277.125,1.300768953,0.0,-0.71,9.88
,41277.145833333336,3.638855385,0.0,-1.57,9.68
,41277.166666666664,2.254457797,1.0,-3.0,9.47
,41277.1875,1.471025174,1.0,-1.0,9.32
,41277.208333333336,3.87423438,0.0,-0.14,9.37
,41277.229166666664,3.658738418,0.0,-0.43,9.27
,41277.25,3.366541704,0.0,-0.14,9.32
,41277.270833333336,3.584093209,0.0,-0.14,9.37
,41277.291666666664,2.270850333,0.0,-0.14,9.37
,41277.3125,2.379216407,0.0,-0.43,9.42
,41277.333333333336,1.268688883,0.0,0.14,9.37
,41277.354166666664,3.175253608,0.0,3.0,9.42
,41277.375,2.497633021,0.0,18.0,9.32
,41277.395833333336,2.51231384,1.0,52.43,9.37
,41277.416666666664,0.858107041,1.0,104.21,9.57
,41277.4375,0.687336301,1.0,123.64,9.73
,41277.458333333336,2.312497222,0.0,190.14,10.19
,41277.479166666664,0.507523623,0.0,208.57,10.29
,41277.5,2.063449866,0.0,217.57,10.65
,41277.520833333336,1.43251014,0.0,181.07,10.75
,41277.541666666664,1.025412758,0.0,162.5,10.91
,41277.5625,1.185742483,0.0,115.0,10.65
,41277.583333333336,0.727361471,0.0,134.29,10.55
,41277.604166666664,1.396236764,0.0,110.93,10.5
,41277.625,0.612289484,0.0,89.86,10.29
,41277.645833333336,1.079131078,1.0,48.86,10.09
,41277.666666666664,2.264519035,0.0,20.79,9.98
,41277.6875,2.96022877,0.0,2.43,9.98
,41277.708333333336,1.637864451,0.0,-0.43,10.04
,41277.729166666664,1.979088043,0.0,-0.43,9.98
,41277.75,2.643812998,0.0,-0.43,9.93
,41277.770833333336,3.034237041,0.0,-0.43,9.98
,41277.791666666664,1.883799439,0.0,-0.71,10.19
,41277.8125,3.490630957,0.0,-1.29,10.29
,41277.833333333336,1.655551337,0.0,-2.14,10.29
,41277.854166666664,1.772262433,0.0,-0.43,10.24
,41277.875,2.202124329,0.0,-0.43,10.24
,41277.895833333336,3.906454468,0.0,-0.43,10.29
,41277.916666666664,2.465619614,0.0,-0.43,10.19
,41277.9375,1.276637346,0.0,-1.0,10.14
,41277.958333333336,1.822671854,0.0,-1.86,9.98
,41277.979166666664,2.042649058,0.0,-0.43,9.78
,41278.0,3.941683179,0.0,-0.43,9.57
,41278.020833333336,2.792498521,0.0,-0.43,9.47
,41278.041666666664,2.12495036,0.0,-0.71,9.37
,41278.0625,1.456028281,0.0,-0.71,9.27
,41278.083333333336,2.009205543,0.0,-0.71,9.27
,41278.104166666664,1.352509633,0.0,-0.71,9.22
,41278.125,1.713068542,0.0,-0.71,9.22
,41278.145833333336,2.02618407,0.0,-0.71,9.22
,41278.166666666664,1.435474798,0.0,-0.71,9.22
,41278.1875,1.221914983,0.0,-0.71,9.16
,41278.208333333336,2.388044908,0.0,-0.71,9.06
,41278.229166666664,1.332371754,0.0,-0.71,8.96
,41278.25,1.767101543,0.0,-0.71,8.96
,41278.270833333336,-0.618989275,1.0,-0.71,8.96
,41278.291666666664,3.229964377,1.0,-0.71,8.91
,41278.3125,0.666715482,1.0,-1.0,8.81
,41278.333333333336,1.369789242,0.0,-0.43,8.76
,41278.354166666664,2.236162286,0.0,2.71,8.7
,41278.375,1.962509831,0.0,13.07,8.76
,41278.395833333336,0.994073147,0.0,32.93,8.86
,41278.416666666664,1.884373822,0.0,46.43,8.91
,41278.4375,2.989907951,0.0,55.29,8.96
,41278.458333333336,1.520307392,0.0,49.5,8.91
,41278.479166666664,0.772920601,0.0,55.93,8.96
,41278.5,1.595718748,0.0,55.57,9.01
,41278.520833333336,1.05185285,0.0,59.5,9.01
,41278.541666666664,1.081824913,0.0,63.43,9.01
,41278.5625,1.116162269,0.0,60.86,9.01
,41278.583333333336,1.609879393,0.0,58.5,9.06
,41278.604166666664,0.867124669,0.0,42.07,9.06
,41278.625,0.894089694,0.0,31.0,8.96
,41278.645833333336,1.002698277,0.0,17.93,8.86
,41278.666666666664,2.227057433,0.0,8.36,8.81
,41278.6875,0.829687565,0.0,1.57,8.76
,41278.708333333336,2.248609354,0.0,-0.43,8.65
,41278.729166666664,1.7524292,0.0,-0.43,8.5
,41278.75,1.49467161,0.0,-0.43,8.29
,41278.770833333336,2.557100965,0.0,-0.14,8.24
,41278.791666666664,1.754551319,0.0,-0.14,8.14
,41278.8125,2.137984919,1.0,-0.43,7.94
,41278.833333333336,1.538235951,0.0,-0.14,7.68
,41278.854166666664,1.147331736,0.0,-0.14,7.58
,41278.875,1.035692185,0.0,-0.14,7.48
,41278.895833333336,4.512398368,0.0,-0.14,7.42
,41278.916666666664,1.740503636,0.0,-0.14,7.32
,41278.9375,0.779954426,0.0,-0.14,7.32
,41278.958333333336,1.269117913,0.0,-0.14,7.32
,41278.979166666664,1.284836512,0.0,-0.43,7.22
,41279.0,0.994049144,0.0,-0.43,7.01
,41279.020833333336,4.003487866,1.0,-0.43,6.96
,41279.041666666664,3.168631985,0.0,-0.14,7.01
,41279.0625,2.231649595,0.0,-0.43,7.07
,41279.083333333336,1.364305952,0.0,-0.43,7.22
,41279.104166666664,0.86374024,0.0,-0.43,7.37
,41279.125,2.871872939,0.0,-0.43,7.68
,41279.145833333336,2.257456486,0.0,-1.0,7.99
,41279.166666666664,1.662927707,0.0,-0.71,8.04
,41279.1875,2.672915561,0.0,-0.71,8.09
,41279.208333333336,1.88249202,0.0,-0.71,8.19
,41279.229166666664,1.612256766,0.0,-1.0,8.35
,41279.25,1.420884544,0.0,-1.0,8.5
,41279.270833333336,0.655395574,0.0,-1.0,8.5
,41279.291666666664,0.893145171,0.0,-0.43,8.55
,41279.3125,0.715430484,0.0,-0.43,8.6
,41279.333333333336,1.064311846,0.0,0.14,8.65
,41279.354166666664,1.613116939,0.0,3.36,8.76
,41279.375,2.540877265,0.0,17.86,8.81
,41279.395833333336,0.987643492,0.0,40.29,8.96
,41279.416666666664,-0.231777448,1.0,58.64,9.27
,41279.4375,0.575341949,0.0,57.93,9.52
,41279.458333333336,2.02867126,0.0,62.07,9.63
,41279.479166666664,1.228329162,0.0,73.29,9.73
,41279.5,0.346872655,2.0,85.07,9.83
,41279.520833333336,1.358196366,0.0,56.5,9.73
,41279.541666666664,1.685487018,1.0,65.0,9.83
,41279.5625,2.067894381,0.0,65.29,9.88
,41279.583333333336,0.678415455,1.0,45.71,9.93
,41279.604166666664,1.507460069,0.0,30.14,9.93
,41279.625,N/A,N/A,14.36,9.88
,41279.645833333336,1.222149585,2.0,10.57,9.73
,41279.666666666664,1.168941636,0.0,6.5,9.68
,41279.6875,1.81564403,1.0,0.71,9.73
,41279.708333333336,1.464940126,0.0,-0.43,9.68
,41279.729166666664,1.369793498,0.0,-0.43,9.78
,41279.75,0.585911127,0.0,-0.43,9.88
,41279.770833333336,2.799099659,0.0,-0.43,9.98
,41279.791666666664,1.857689228,0.0,-0.43,10.09
,41279.8125,1.474107085,0.0,-1.57,9.98
,41279.833333333336,-0.555522243,2.0,-2.71,9.68
,41279.854166666664,1.041930733,0.0,-2.14,9.52
,41279.875,1.204313144,1.0,-4.43,9.16
,41279.895833333336,-0.537517388,0.0,-4.43,8.7
,41279.916666666664,0.589135074,1.0,-4.43,8.45
,41279.9375,-0.970653698,1.0,-4.71,7.58
,41279.958333333336,1.179753281,1.0,-4.71,7.42
,41279.979166666664,2.597150148,0.0,-4.71,7.07
,41280.0,1.631428737,0.0,-4.43,6.76
,41280.020833333336,0.424094509,0.0,-4.14,6.3
,41280.041666666664,4.806204371,1.0,-3.86,5.73
,41280.0625,2.66726226,0.0,-3.29,5.68
,41280.083333333336,6.528059548,0.0,-2.43,5.79
,41280.104166666664,4.541355059,0.0,-0.14,5.53
,41280.125,6.539125688,0.0,-0.14,5.99
,41280.145833333336,2.06602181,1.0,-0.14,6.35
,41280.166666666664,1.083559421,0.0,-0.43,6.45
,41280.1875,3.149736072,0.0,-0.71,6.3
,41280.208333333336,2.832202534,0.0,-1.0,5.94
,41280.229166666664,1.000953549,0.0,-1.29,5.63
,41280.25,2.539595425,0.0,-0.43,5.43
,41280.270833333336,2.545849202,1.0,-0.14,5.22
,41280.291666666664,0.643390095,1.0,-0.14,5.07
,41280.3125,1.725546959,1.0,-0.14,5.02
,41280.333333333336,0.933445424,0.0,0.14,4.92
,41280.354166666664,1.552190918,0.0,9.79,4.81
,41280.375,1.538744859,1.0,23.21,4.81
,41280.395833333336,1.359746214,0.0,27.64,5.02
,41280.416666666664,2.061441515,0.0,53.36,4.97
,41280.4375,4.14276264,1.0,81.36,5.07
,41280.458333333336,-1.261252674,2.0,103.36,5.02
,41280.479166666664,1.410916456,1.0,109.79,5.12
,41280.5,1.458129639,1.0,119.57,5.48
,41280.520833333336,1.225456377,0.0,116.29,5.89
,41280.541666666664,0.866517026,1.0,86.93,6.2
,41280.5625,-0.410146401,1.0,135.0,6.35
,41280.583333333336,-0.402700009,1.0,119.86,6.66
,41280.604166666664,0.867364386,1.0,69.79,7.01
,41280.625,0.570256996,0.0,69.57,7.42
,41280.645833333336,0.287609293,0.0,18.57,7.63
,41280.666666666664,2.772203433,0.0,4.29,7.83
,41280.6875,1.062400539,1.0,0.43,8.09
,41280.708333333336,3.52816939,0.0,-0.14,8.24
,41280.729166666664,3.358585649,0.0,-0.14,8.35
,41280.75,4.527132041,0.0,-0.43,8.4
,41280.770833333336,3.522734497,0.0,-0.43,8.29
,41280.791666666664,3.328687859,0.0,-0.43,8.19
,41280.8125,2.952391574,0.0,-0.43,8.19
,41280.833333333336,4.65167142,0.0,-0.43,8.14
,41280.854166666664,2.714358227,0.0,-0.43,8.04
,41280.875,2.442931446,0.0,-0.43,7.83
,41280.895833333336,1.375617971,1.0,-0.43,7.63
,41280.916666666664,2.076052813,0.0,-0.43,7.37
,41280.9375,2.083423227,0.0,-0.43,7.22
,41280.958333333336,2.046499756,0.0,-0.43,7.07
,41280.979166666664,3.311363628,1.0,-0.71,6.96
,41281.0,1.536197566,0.0,-1.0,6.86
,41281.020833333336,3.051790872,0.0,-1.0,6.81
,41281.041666666664,1.589371041,0.0,-0.71,6.71
,41281.0625,1.69733391,0.0,-0.71,6.55
,41281.083333333336,2.774563678,0.0,-0.71,6.4
,41281.104166666664,1.280817679,0.0,-0.71,6.2
,41281.125,3.044127241,1.0,-0.71,6.09
,41281.145833333336,2.411249263,0.0,-0.43,6.09
,41281.166666666664,2.552622844,0.0,-0.43,6.09
,41281.1875,2.792884024,0.0,-0.14,6.09
,41281.208333333336,3.759070281,0.0,-0.14,6.09
,41281.229166666664,3.128434363,0.0,-0.14,6.14
,41281.25,1.507283555,0.0,-0.14,6.2
,41281.270833333336,2.576584213,0.0,-0.14,6.25
,41281.291666666664,3.542505197,0.0,-0.14,6.3
,41281.3125,2.877623745,0.0,-0.14,6.4
,41281.333333333336,4.879011852,0.0,0.14,6.45
,41281.354166666664,1.757998484,0.0,1.86,6.5
,41281.375,2.306481373,1.0,6.36,6.6
,41281.395833333336,1.858750266,0.0,10.36,6.71
,41281.416666666664,4.513436374,0.0,18.64,6.81
,41281.4375,4.417070703,0.0,32.21,6.86
,41281.458333333336,1.662556382,0.0,47.21,7.01
,41281.479166666664,3.600592044,0.0,44.07,7.22
,41281.5,2.127676852,0.0,42.36,7.32
,41281.520833333336,2.232672847,0.0,68.14,7.37
,41281.541666666664,1.703537287,0.0,77.0,7.37
,41281.5625,1.58402111,1.0,35.07,7.53
,41281.583333333336,2.209292179,0.0,16.64,7.48
,41281.604166666664,2.142408598,0.0,14.64,7.37
,41281.625,1.735512474,0.0,30.43,7.37
,41281.645833333336,1.502618192,0.0,9.5,7.48
,41281.666666666664,1.584425099,0.0,5.57,7.48
,41281.6875,1.229682793,1.0,0.71,7.53
,41281.708333333336,3.412638294,0.0,-0.43,7.63
,41281.729166666664,2.875657285,0.0,-0.71,7.68
,41281.75,1.679548373,1.0,-0.43,7.78
,41281.770833333336,2.449706495,0.0,-0.43,7.88
,41281.791666666664,1.289827163,0.0,-0.43,7.99
,41281.8125,1.476310251,0.0,-0.43,8.04
,41281.833333333336,2.068906579,0.0,-0.71,8.09
,41281.854166666664,3.314412978,0.0,-0.71,8.14
,41281.875,1.997678795,0.0,-0.71,8.14
,41281.895833333336,3.832381769,0.0,-0.71,8.19
,41281.916666666664,6.211146011,0.0,-0.71,8.29
,41281.9375,4.946607779,0.0,-0.71,8.45
,41281.958333333336,5.291579273,0.0,-0.71,8.55
,41281.979166666664,2.445254858,0.0,-0.71,8.6
,41282.0,2.854179078,0.0,-0.71,8.45
,41282.020833333336,-1.830331015,2.0,-0.71,8.55
,41282.041666666664,1.623301978,0.0,-0.71,8.7
,41282.0625,2.645403771,0.0,-0.71,8.81
,41282.083333333336,2.488215293,0.0,-0.71,8.91
,41282.104166666664,1.702835055,0.0,-0.71,8.96
,41282.125,1.182865867,0.0,-1.0,8.91
,41282.145833333336,2.829369663,1.0,-0.71,8.91
,41282.166666666664,1.518458194,0.0,-0.71,8.96
,41282.1875,1.53769972,0.0,-0.71,8.96
,41282.208333333336,3.330954662,0.0,-0.71,8.96
,41282.229166666664,-0.929214588,1.0,-1.0,8.96
,41282.25,1.05473023,0.0,-0.71,8.86
,41282.270833333336,2.471943369,0.0,-0.71,8.91
,41282.291666666664,-1.821448594,1.0,-1.29,8.81
,41282.3125,2.897888977,0.0,-0.71,8.65
,41282.333333333336,2.38340927,0.0,-0.14,8.65
,41282.354166666664,5.020191918,0.0,5.36,8.55
,41282.375,-1.785568497,1.0,27.79,8.65
,41282.395833333336,2.262586879,0.0,48.14,8.81
,41282.416666666664,1.671971986,0.0,70.07,9.16
,41282.4375,1.082255551,0.0,121.5,9.22
,41282.458333333336,-0.00127,2.0,178.93,9.63
,41282.479166666664,2.353223957,0.0,155.0,9.68
,41282.5,1.702329451,0.0,90.86,9.78
,41282.520833333336,1.787543192,0.0,91.57,9.93
,41282.541666666664,2.250347017,1.0,81.21,10.04
,41282.5625,1.503770959,0.0,41.5,9.88
,41282.583333333336,2.237227624,1.0,42.07,9.88
,41282.604166666664,1.151705053,0.0,52.29,9.93
,41282.625,1.944350631,0.0,56.79,10.04
,41282.645833333336,2.130499874,0.0,24.57,10.09
,41282.666666666664,2.252411314,0.0,9.14,9.88
,41282.6875,1.382464349,0.0,1.5,9.68
,41282.708333333336,3.246563201,0.0,-0.43,9.52
,41282.729166666664,3.158517389,0.0,-1.0,9.32
,41282.75,1.843467541,0.0,-0.71,9.11
,41282.770833333336,3.312875368,0.0,-0.43,8.96
,41282.791666666664,1.577218937,0.0,-0.71,8.81
,41282.8125,4.686968048,0.0,-0.71,8.7
,41282.833333333336,1.85950584,0.0,-0.43,8.65
,41282.854166666664,3.042888134,0.0,-0.71,8.6
,41282.875,3.112857388,0.0,-0.43,8.55
,41282.895833333336,2.602064996,0.0,-0.43,8.55
,41282.916666666664,2.344140232,0.0,-0.14,8.55
,41282.9375,2.385301461,0.0,-0.14,8.6
,41282.958333333336,3.135215591,0.0,-0.14,8.65
,41282.979166666664,2.925431345,0.0,-0.14,8.81
,41283.0,1.854156057,0.0,-0.14,8.86
,41283.020833333336,1.828893903,0.0,-0.14,8.91
,41283.041666666664,1.288592928,0.0,-0.14,8.96
,41283.0625,1.399721851,0.0,-0.14,8.96
,41283.083333333336,0.975700834,0.0,-0.14,9.01
,41283.104166666664,1.10906856,0.0,0.14,9.06
,41283.125,1.143349679,0.0,-0.14,9.16
,41283.145833333336,1.404646102,0.0,-0.14,9.22
,41283.166666666664,2.986903324,1.0,-0.14,9.22
,41283.1875,2.747748644,1.0,-0.14,9.22
,41283.208333333336,2.236699918,1.0,-0.14,8.29
,41283.229166666664,1.868053718,0.0,-0.14,7.88
,41283.25,2.840009796,0.0,-0.14,7.73
,41283.270833333336,2.680105468,0.0,-0.14,7.58
,41283.291666666664,3.08963354,0.0,-0.14,7.48
,41283.3125,1.731537223,1.0,-0.14,7.42
,41283.333333333336,3.334286872,1.0,0.14,7.42
,41283.354166666664,2.719540054,1.0,1.93,7.48
,41283.375,1.295841871,0.0,6.79,7.48
,41283.395833333336,1.920761159,1.0,11.79,7.48
,41283.416666666664,2.44779815,0.0,17.64,7.32
,41283.4375,0.651269026,1.0,27.93,7.27
,41283.458333333336,1.374931898,0.0,46.64,7.22
,41283.479166666664,-0.453882954,1.0,103.93,7.22
,41283.5,-0.137865775,1.0,137.14,7.37
,41283.520833333336,-0.66730395,0.0,145.71,7.58
,41283.541666666664,1.974130466,2.0,172.79,7.63
,41283.5625,-0.527422686,0.0,239.21,7.78
,41283.583333333336,-0.403104241,1.0,176.64,7.83
,41283.604166666664,0.63813983,1.0,107.5,7.68
,41283.625,0.405812375,2.0,119.5,7.63
,41283.645833333336,2.382226154,0.0,45.36,7.63
,41283.666666666664,0.893718267,0.0,15.43,7.32
,41283.6875,-0.123543944,1.0,2.86,7.17
,41283.708333333336,3.874564345,0.0,0.14,7.12
,41283.729166666664,2.248123857,1.0,0.14,7.07
,41283.75,4.719496309,1.0,-0.14,6.81
,41283.770833333336,1.681548571,1.0,-0.71,6.76
,41283.791666666664,-0.554978702,1.0,-0.71,6.4
,41283.8125,-0.326455285,0.0,-0.43,6.09
,41283.833333333336,0.321194836,1.0,-1.0,5.84
,41283.854166666664,1.454607246,1.0,-3.29,5.53
,41283.875,0.751648442,1.0,-3.86,5.12
,41283.895833333336,-1.146057184,1.0,-1.57,4.56
,41283.916666666664,-1.001868561,2.0,-2.43,4.25
,41283.9375,-0.156325159,1.0,-3.57,3.89
,41283.958333333336,1.471304609,1.0,-3.86,3.74
,41283.979166666664,-2.189827144,1.0,-3.86,3.12
,41284.0,7.559205223,1.0,-3.57,2.71
,41284.020833333336,0.560787591,1.0,-3.0,2.51
,41284.041666666664,-0.00161,2.0,-1.86,2.05
,41284.0625,6.675617758,1.0,-0.14,2.3
,41284.083333333336,-82.40047507,1.0,0.14,2.46
,41284.104166666664,-6.587183883,1.0,0.21,2.51
,41284.125,6.576537921,0.0,0.14,2.87
,41284.145833333336,2.465714474,0.0,-0.43,3.12
,41284.166666666664,1.800443484,1.0,-0.43,3.17
,41284.1875,1.438960196,0.0,-0.14,3.23
,41284.208333333336,9.203689659,1.0,-0.14,3.28
,41284.229166666664,3.484031457,1.0,-0.43,3.33
,41284.25,0.677493319,1.0,-0.71,3.23
,41284.270833333336,2.013282361,2.0,-1.0,3.17
,41284.291666666664,3.770953692,0.0,-0.14,3.17
,41284.3125,18.86465434,1.0,-1.0,3.43
,41284.333333333336,-0.0646,2.0,-0.71,3.28
,41284.354166666664,-13.78020899,1.0,4.71,3.12
,41284.375,-0.624409706,1.0,17.14,3.12
,41284.395833333336,-2.403240624,2.0,36.21,3.23
,41284.416666666664,-3.095694704,1.0,80.71,3.43
,41284.4375,19.98149902,1.0,79.93,3.79
,41284.458333333336,-0.855980292,1.0,129.86,3.89
,41284.479166666664,7.644335429,1.0,103.14,4.15
,41284.5,-4.849396948,2.0,76.5,4.3
,41284.520833333336,-4.531861157,1.0,82.0,4.51
,41284.541666666664,1.86960869,1.0,94.43,4.71
,41284.5625,-0.360142044,2.0,101.71,4.81
,41284.583333333336,3.253888759,1.0,76.0,4.97
,41284.604166666664,-0.448164602,2.0,80.86,5.07
,41284.625,0.84589637,2.0,84.71,5.32
,41284.645833333336,4.148436258,0.0,44.5,5.38
,41284.666666666664,0.125141237,1.0,11.0,5.38
,41284.6875,0.5872536,1.0,0.0,0.0
,41284.708333333336,0.80072339,0.0,-0.43,5.27
,41284.729166666664,2.386097435,0.0,-0.43,5.17
,41284.75,0.432658225,0.0,-0.43,5.07
,41284.770833333336,1.198227095,1.0,-0.43,4.71
,41284.791666666664,1.302998091,0.0,-0.43,4.25
,41284.8125,1.278158944,0.0,-1.29,4.15
,41284.833333333336,1.102096289,0.0,-1.57,4.15
,41284.854166666664,3.066748606,0.0,-1.0,4.25
,41284.875,8.271621839,1.0,-1.0,4.25
,41284.895833333336,1.436400188,0.0,-0.71,4.15
,41284.916666666664,0.958135132,0.0,-0.43,3.99
,41284.9375,2.406676405,0.0,-0.43,3.64
,41284.958333333336,3.196844208,0.0,-0.71,3.58
,41284.979166666664,0.72553793,1.0,-1.0,3.58
,41285.0,0.955214791,0.0,-1.0,3.64
,41285.020833333336,2.659424676,1.0,-0.71,3.69
,41285.041666666664,2.998583376,0.0,-0.71,3.79
,41285.0625,3.27494921,0.0,-1.29,3.79
,41285.083333333336,3.738980893,0.0,-1.29,3.84
,41285.104166666664,1.858622074,0.0,-1.86,3.94
,41285.125,2.148293951,0.0,-1.86,3.89
,41285.145833333336,2.106942622,0.0,-1.0,3.89
,41285.166666666664,1.768869955,0.0,-0.43,4.1
,41285.1875,0.296542115,0.0,-0.43,4.2
,41285.208333333336,2.360521266,1.0,-1.29,4.3
,41285.229166666664,1.636929169,0.0,-1.29,4.3
,41285.25,1.127144321,0.0,-0.71,4.25
,41285.270833333336,1.379741788,0.0,-0.43,4.3
,41285.291666666664,1.341684449,0.0,-0.43,4.3
,41285.3125,2.542444721,0.0,-0.43,4.25
,41285.333333333336,-0.339691209,2.0,0.14,4.3
,41285.354166666664,0.884157113,0.0,5.5,4.35
,41285.375,0.637812712,0.0,10.07,4.51
,41285.395833333336,1.427954532,1.0,21.57,4.71
,41285.416666666664,0.765464676,1.0,36.57,4.92
,41285.4375,-1.074688143,1.0,69.71,5.12
,41285.458333333336,2.49448452,1.0,91.71,5.12
,41285.479166666664,-0.305818625,1.0,122.93,5.32
,41285.5,-2.794971105,1.0,62.29,5.53
,41285.520833333336,-0.592719311,2.0,132.57,5.73
,41285.541666666664,4.159744825,1.0,225.29,6.6
,41285.5625,-1.650014104,2.0,105.0,6.2
,41285.583333333336,-0.526497071,2.0,96.5,6.25
,41285.604166666664,-0.399312049,2.0,103.36,6.4
,41285.625,0.966222682,0.0,87.07,6.45
,41285.645833333336,6.257464594,1.0,133.21,6.91
,41285.666666666664,7.671503138,1.0,37.07,6.6
,41285.6875,0.82819724,1.0,3.0,5.48
,41285.708333333336,-0.120727191,0.0,-5.29,4.81
,41285.729166666664,0.240138628,1.0,-5.0,3.99
,41285.75,3.342682019,1.0,-4.71,3.28
